id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,short,country_id
1,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,ACT,6
2,New South Wales,New South Wales,New South Wales,New South Wales,NSW,6
3,Northern Territory,Northern Territory,Northern Territory,Northern Territory,NT,6
4,Queensland,Queensland,Queensland,Queensland,QLD,6
5,South Australia,South Australia,South Australia,South Australia,SA,6
6,Tasmania,Tasmania,Tasmania,Tasmania,TAS,6
7,Victoria,Victoria,Victoria,Victoria,VIC,6
8,Western Australia,Western Australia,Western Australia,Western Australia,WA,6
9,Rarotonga,Rarotonga,Rarotonga,Rarotonga,RAR,14
10,Südinsel,Südinsel,Südinsel,Südinsel,SI,44
11,Florida,Florida,Florida,Florida,FL,61
12,North Carolina,North Carolina,North Carolina,North Carolina,NC,61
13,South Carolina,South Carolina,South Carolina,South Carolina,SC,61